TIMESTAMP,AZIMUTH,DISTANCE,SIGNAL_STRENGTH
-1,53.3125,219,199
-1,55.5625,209,199
-1,57.75,203,199
-1,59.9375,197,199
-1,62.125,189,199
-1,64.6875,185,199
-1,67.25,181,199
-1,69.8125,177,191
-1,72.5625,173,191
-1,75.3125,169,191
-1,77.75,167,191
-1,80.3125,165,191
-1,82.875,163,191
-1,85.4375,162,191
-1,88,161,191
-1,90.75,158,191
-1,93.5,158,191
-1,96.25,158,191
-1,99,158,191
-1,101.75,160,191
-1,104.125,160,191
-1,106.6875,163,191
-1,109.25,165,191
-1,111.8125,165,191
-1,114.25,164,199
-1,116.8125,166,191
-1,119.375,168,191
-1,121.9375,172,191
-1,124.6875,178,191
-1,127.25,183,199
-1,129.4375,188,199
-1,131.625,194,199
-1,133.875,198,199
-1,136.4375,205,199
-1,138.8125,203,199
-1,141.375,195,199
-1,143.9375,188,199
-1,146.5,182,199
-1,149.0625,176,199
-1,151.8125,168,199
-1,154.9375,164,191
-1,157.125,160,199
-1,159.6875,156,199
-1,162.25,153,199
-1,164.8125,151,191
-1,167.4375,148,191
-1,170.1875,146,191
-1,172.75,143,191
-1,175.5,143,191
-1,178.25,141,191
-1,181,141,191
-1,183.5625,140,191
-1,186.125,140,191
-1,188.6875,140,191
-1,191.4375,141,191
-1,194.1875,141,191
-1,196.9375,143,191
-1,199.3125,144,191
-1,202.0625,147,191
-1,204.8125,150,199
-1,207.5625,154,191
-1,210.3125,156,191
-1,213.0625,160,199
-1,215.625,164,199
-1,218.375,167,191
-1,221.3125,174,199
-1,224.0625,180,199
-1,226.625,186,199
-1,229,193,199
-1,231.25,201,199
